,City,Date,Temperature,MaxTemp,MinTemp,AvgTemp,Temp - MaxTemp,Temp - MinTemp,Temp - AvgTemp
0,Kyiv,2019-11-02,10.9,17.1,6.5,13.9,-6.2,4.4,-3.0
1,Kyiv,2019-11-07,13.8,17.1,6.5,13.9,-3.3,7.3,-0.1
2,Kyiv,2019-11-08,16.9,17.1,6.5,13.9,-0.2,10.4,3.0
3,Kyiv,2019-11-12,16.7,17.1,6.5,13.9,-0.4,10.2,2.8
4,Kyiv,2019-11-17,6.5,17.1,6.5,13.9,-10.6,0.0,-7.4
5,Kyiv,2019-11-21,11.2,17.1,6.5,13.9,-5.9,4.7,-2.7
6,Kyiv,2019-11-24,17.1,17.1,6.5,13.9,0.0,10.6,3.2
7,Kyiv,2019-11-27,16.5,17.1,6.5,13.9,-0.6,10.0,2.6
8,Kyiv,2019-11-28,14.3,17.1,6.5,13.9,-2.8,7.8,0.4
9,Kyiv,2019-11-29,15.1,17.1,6.5,13.9,-2.0,8.6,1.2
10,Kyiv,2019-10-02,13.9,14.3,-16.3,4.5,-0.4,30.2,9.4
11,Kyiv,2019-10-07,14.3,14.3,-16.3,4.5,0.0,30.6,9.8
12,Kyiv,2019-10-08,-16.3,14.3,-16.3,4.5,-30.6,0.0,-20.8
13,Kyiv,2019-10-12,-5.3,14.3,-16.3,4.5,-19.6,11.0,-9.8
14,Kyiv,2019-10-17,-1.5,14.3,-16.3,4.5,-15.8,14.8,-6.0
15,Kyiv,2019-10-21,5.2,14.3,-16.3,4.5,-9.1,21.5,0.7
16,Kyiv,2019-10-24,9.1,14.3,-16.3,4.5,-5.2,25.4,4.6
17,Kyiv,2019-10-27,11.4,14.3,-16.3,4.5,-2.9,27.7,6.9
18,Kyiv,2019-10-28,9.0,14.3,-16.3,4.5,-5.3,25.3,4.5
19,Kyiv,2019-10-29,5.4,14.3,-16.3,4.5,-8.9,21.7,0.9
20,Kyiv,2019-09-02,10.4,16.1,-9.8,4.1,-5.7,20.2,6.3
21,Kyiv,2019-09-07,-9.8,16.1,-9.8,4.1,-25.9,0.0,-13.9
22,Kyiv,2019-09-08,-2.9,16.1,-9.8,4.1,-19.0,6.9,-7.0
23,Kyiv,2019-09-12,1.7,16.1,-9.8,4.1,-14.4,11.5,-2.4
24,Kyiv,2019-09-17,3.5,16.1,-9.8,4.1,-12.6,13.3,-0.6
25,Kyiv,2019-09-21,12.8,16.1,-9.8,4.1,-3.3,22.6,8.7
26,Kyiv,2019-09-24,16.1,16.1,-9.8,4.1,0.0,25.9,12.0
27,Kyiv,2019-09-27,10.2,16.1,-9.8,4.1,-5.9,20.0,6.1
28,Kyiv,2019-09-28,3.2,16.1,-9.8,4.1,-12.9,13.0,-0.9
29,Kyiv,2019-09-29,-4.7,16.1,-9.8,4.1,-20.8,5.1,-8.8
30,Rome,2019-11-02,11.9,25.5,-9.7,6.1,-13.6,21.6,5.8
31,Rome,2019-11-07,10.8,25.5,-9.7,6.1,-14.7,20.5,4.7
32,Rome,2019-11-08,-5.9,25.5,-9.7,6.1,-31.4,3.8,-12.0
33,Rome,2019-11-12,-9.7,25.5,-9.7,6.1,-35.2,0.0,-15.8
34,Rome,2019-11-17,8.5,25.5,-9.7,6.1,-17.0,18.2,2.4
35,Rome,2019-11-21,5.2,25.5,-9.7,6.1,-20.3,14.9,-0.9
36,Rome,2019-11-24,17.3,25.5,-9.7,6.1,-8.2,27.0,11.2
37,Rome,2019-11-27,25.5,25.5,-9.7,6.1,0.0,35.2,19.4
38,Rome,2019-11-28,2.3,25.5,-9.7,6.1,-23.2,12.0,-3.8
39,Rome,2019-11-29,-5.1,25.5,-9.7,6.1,-30.6,4.6,-11.2
40,Rome,2019-10-12,-5.3,11.4,-5.3,4.5,-16.7,0.0,-9.8
41,Rome,2019-10-17,-1.5,11.4,-5.3,4.5,-12.9,3.8,-6.0
42,Rome,2019-10-21,5.2,11.4,-5.3,4.5,-6.2,10.5,0.7
43,Rome,2019-10-24,9.1,11.4,-5.3,4.5,-2.3,14.4,4.6
44,Rome,2019-10-27,11.4,11.4,-5.3,4.5,0.0,16.7,6.9
45,Rome,2019-10-28,9.0,11.4,-5.3,4.5,-2.4,14.3,4.5
46,Rome,2019-10-29,3.4,11.4,-5.3,4.5,-8.0,8.7,-1.1
47,Rome,2019-09-02,10.4,16.1,-9.8,4.1,-5.7,20.2,6.3
48,Rome,2019-09-07,-9.8,16.1,-9.8,4.1,-25.9,0.0,-13.9
49,Rome,2019-09-08,-2.9,16.1,-9.8,4.1,-19.0,6.9,-7.0
50,Rome,2019-09-12,1.7,16.1,-9.8,4.1,-14.4,11.5,-2.4
51,Rome,2019-09-17,3.5,16.1,-9.8,4.1,-12.6,13.3,-0.6
52,Rome,2019-09-21,12.8,16.1,-9.8,4.1,-3.3,22.6,8.7
53,Rome,2019-09-24,16.1,16.1,-9.8,4.1,0.0,25.9,12.0
54,Rome,2019-09-27,10.2,16.1,-9.8,4.1,-5.9,20.0,6.1
55,Rome,2019-09-28,3.2,16.1,-9.8,4.1,-12.9,13.0,-0.9
56,Rome,2019-09-29,-4.7,16.1,-9.8,4.1,-20.8,5.1,-8.8
57,Paris,2019-11-02,4.9,29.3,4.9,18.3,-24.4,0.0,-13.4
58,Paris,2019-11-08,13.9,29.3,4.9,18.3,-15.4,9.0,-4.4
59,Paris,2019-11-12,19.7,29.3,4.9,18.3,-9.6,14.8,1.4
60,Paris,2019-11-17,16.5,29.3,4.9,18.3,-12.8,11.6,-1.8
61,Paris,2019-11-21,19.2,29.3,4.9,18.3,-10.1,14.3,0.9
62,Paris,2019-11-24,23.3,29.3,4.9,18.3,-6.0,18.4,5.0
63,Paris,2019-11-27,26.1,29.3,4.9,18.3,-3.2,21.2,7.8
64,Paris,2019-11-28,29.3,29.3,4.9,18.3,0.0,24.4,11.0
65,Paris,2019-11-29,11.4,29.3,4.9,18.3,-17.9,6.5,-6.9
66,Paris,2019-10-02,23.9,31.1,10.4,17.3,-7.2,13.5,6.6
67,Paris,2019-10-07,12.3,31.1,10.4,17.3,-18.8,1.9,-5.0
68,Paris,2019-10-08,16.4,31.1,10.4,17.3,-14.7,6.0,-0.9
69,Paris,2019-10-12,14.3,31.1,10.4,17.3,-16.8,3.9,-3.0
70,Paris,2019-10-17,13.5,31.1,10.4,17.3,-17.6,3.1,-3.8
71,Paris,2019-10-21,15.2,31.1,10.4,17.3,-15.9,4.8,-2.1
72,Paris,2019-10-24,31.1,31.1,10.4,17.3,0.0,20.7,13.8
73,Paris,2019-10-27,10.4,31.1,10.4,17.3,-20.7,0.0,-6.9
74,Paris,2019-10-28,20.0,31.1,10.4,17.3,-11.1,9.6,2.7
75,Paris,2019-10-29,15.4,31.1,10.4,17.3,-15.7,5.0,-1.9
76,Paris,2019-09-02,10.3,26.3,10.3,20.5,-16.0,0.0,-10.2
77,Paris,2019-09-07,19.8,26.3,10.3,20.5,-6.5,9.5,-0.7
78,Paris,2019-09-08,12.9,26.3,10.3,20.5,-13.4,2.6,-7.6
79,Paris,2019-09-12,21.7,26.3,10.3,20.5,-4.6,11.4,1.2
80,Paris,2019-09-17,23.5,26.3,10.3,20.5,-2.8,13.2,3.0
81,Paris,2019-09-21,22.8,26.3,10.3,20.5,-3.5,12.5,2.3
82,Paris,2019-09-24,26.3,26.3,10.3,20.5,0.0,16.0,5.8
