City,Date,Temperature
Kyiv,2019-11-29,15.1
Kyiv,2019-11-28,14.3
Kyiv,2019-11-27,16.5
Kyiv,2019-11-24,17.1
Kyiv,2019-11-21,11.2
Kyiv,2019-11-17,6.5
Kyiv,2019-11-12,16.7
Kyiv,2019-11-08,16.9
Kyiv,2019-11-07,13.8
Kyiv,2019-11-02,10.9
Kyiv,2019-10-29,5.4
Kyiv,2019-10-28,9.0
Kyiv,2019-10-27,11.4
Kyiv,2019-10-24,9.1
Kyiv,2019-10-21,5.2
Kyiv,2019-10-17,-1.5
Kyiv,2019-10-12,-5.3
Kyiv,2019-10-08,-16.3
Kyiv,2019-10-07,14.3
Kyiv,2019-10-02,13.9
Kyiv,2019-09-29,-4.7
Kyiv,2019-09-28,3.2
Kyiv,2019-09-27,10.2
Kyiv,2019-09-24,16.1
Kyiv,2019-09-21,12.8
Kyiv,2019-09-17,3.5
Kyiv,2019-09-12,1.7
Kyiv,2019-09-08,-2.9
Kyiv,2019-09-07,-9.8
Kyiv,2019-09-02,10.4
Rome,2019-11-29,-5.1
Rome,2019-11-28,2.3
Rome,2019-11-27,25.5
Rome,2019-11-24,17.3
Rome,2019-11-21,5.2
Rome,2019-11-17,8.5
Rome,2019-11-12,-9.7
Rome,2019-11-08,-5.9
Rome,2019-11-07,10.8
Rome,2019-11-02,11.9
Rome,2019-10-29,3.4
Rome,2019-10-28,9.0
Rome,2019-10-27,11.4
Rome,2019-10-24,9.1
Rome,2019-10-21,5.2
Rome,2019-10-17,-1.5
Rome,2019-10-12,-5.3
Rome,2019-09-29,-4.7
Rome,2019-09-28,3.2
Rome,2019-09-27,10.2
Rome,2019-09-24,16.1
Rome,2019-09-21,12.8
Rome,2019-09-17,3.5
Rome,2019-09-12,1.7
Rome,2019-09-08,-2.9
Rome,2019-09-07,-9.8
Rome,2019-09-02,10.4
Paris,2019-11-29,11.4
Paris,2019-11-28,29.3
Paris,2019-11-27,26.1
Paris,2019-11-24,23.3
Paris,2019-11-21,19.2
Paris,2019-11-17,16.5
Paris,2019-11-12,19.7
Paris,2019-11-08,13.9
Paris,2019-11-02,4.9
Paris,2019-10-29,15.4
Paris,2019-10-28,20.0
Paris,2019-10-27,10.4
Paris,2019-10-24,31.1
Paris,2019-10-21,15.2
Paris,2019-10-17,13.5
Paris,2019-10-12,14.3
Paris,2019-10-08,16.4
Paris,2019-10-07,12.3
Paris,2019-10-02,23.9
Paris,2019-09-29,24.7
Paris,2019-09-28,23.2
Paris,2019-09-27,20.2
Paris,2019-09-24,26.3
Paris,2019-09-21,22.8
Paris,2019-09-17,23.5
Paris,2019-09-12,21.7
Paris,2019-09-08,12.9
Paris,2019-09-07,19.8
Paris,2019-09-02,10.3
